title,link,source
A Weary Biden Heads for the Exit,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html"")",The New York Times
Trump to Russia’s Rescue,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/trump-to-russias-rescue/681037/?utm_source=feed"")",The Atlantic
"Diddy's Children Share Personal and Heartfelt Birthday Tributes To Late Mom, Kim Porter","=HYPERLINK(""https://www.theroot.com/diddys-children-share-heartfelt-and-cheerful-birthday-t-1851723459"")",The Root
"The Outlawz Member Recalls Afeni Shakur Taking Tupac Off Life Support, ‘He Probably Could Have Lived’","=HYPERLINK(""https://www.blackenterprise.com/outlawz-afeni-shakur-tupac-life-support/"")",Black Enterprise
U.S. to pay $116M settlement over rampant sexual abuse at Calif. women's prison,"=HYPERLINK(""https://www.npr.org/2024/12/17/nx-s1-5232193/federal-prison-california-sexual-abuse-settlement"")",NPR
Casper Dream Hybrid Mattress Review 2024: Casper's Most Accommodating Bed,"=HYPERLINK(""https://www.cnet.com/health/sleep/casper-dream-hybrid-review/#ftag=CAD590a51e"")",CNET
Six-Word Sci-Fi: Stories Written by You,"=HYPERLINK(""https://www.wired.com/story/six-word/"")",Wired
"Intel finally notches a GPU win, confirms Arc B580 is selling out after stellar reviews","=HYPERLINK(""https://www.theverge.com/2024/12/17/24323888/intel-arc-b580-sold-out-availability"")",The Verge
The DOJ wants a Perplexity executive to testify in its Google antitrust case,"=HYPERLINK(""https://techcrunch.com/2024/12/17/the-doj-wants-a-perplexity-executive-to-testify-in-its-google-antitrust-case/"")",TechCrunch
OpenAI gifts developers with enhanced voice and reasoning models,"=HYPERLINK(""https://mashable.com/article/openai-developers-christmas"")",Mashable
General's assassination pierces Moscow's air of normality,"=HYPERLINK(""https://www.bbc.com/news/articles/czjdmgnj242o"")",BBC News
UK government denies rift with Mauritian PM over Chagos Islands deal,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/uk-government-denies-rift-with-mauritian-pm-over-chagos-island-deal"")",The Guardian
