title,link,source
"The Outlawz Member Recalls Afeni Shakur Taking Tupac Off Life Support, ‘He Probably Could Have Lived’","=HYPERLINK(""https://www.blackenterprise.com/outlawz-afeni-shakur-tupac-life-support/"")",Black Enterprise
Diddy Denied Evidentiary Hearing On Claims The Government Is Leaking Information To The Press,"=HYPERLINK(""https://www.blackenterprise.com/diddy-denied-evidentiary-hearing-government-leaking-information/"")",Black Enterprise
Former University Of Michigan DEI Officer Considers Legal Action After Being Fired For Alleged Antisemitic Remarks,"=HYPERLINK(""https://www.blackenterprise.com/another-one-top-dei-officer-let-go-university-of-michigan/"")",Black Enterprise
Affirmative Action Ban Strikes Again As Black Student Enrollment Drops More Than Half At Harvard Law,"=HYPERLINK(""https://www.blackenterprise.com/harvard-law-sees-massive-drop-in-black-student-enrollment/"")",Black Enterprise
Scholarship Programs For Underrepresented Minorities Under Attack For ‘Discriminating Against White Males’,"=HYPERLINK(""https://www.blackenterprise.com/scholarship-underrepresented-minorities-under-attack-discriminating-white-people/"")",Black Enterprise
Judge Rules Presidential Immunity Doesn’t Save Donald Trump From Hush Money Conviction,"=HYPERLINK(""https://www.blackenterprise.com/not-so-fast-judge-rules-trumps-hush-money-conviction-stands/"")",Black Enterprise
"Trump’s New Economic Policies Could Have A Detrimental Impact On Black Businesses, Yet Some Opportunities May Exist","=HYPERLINK(""https://www.blackenterprise.com/trumps-new-economic-policies-could-have-a-detrimental-impact-on-black-businesses-yet-some-opportunities-may-exist/"")",Black Enterprise
Lil Wayne Reportedly Spoke To Kendrick Lamar About Super Bowl Performance,"=HYPERLINK(""https://www.blackenterprise.com/lil-wayne-kendrick-lamar-better-kill-it/"")",Black Enterprise
"Michael Vick In Talks With Norfolk State, Sacramento State To Take Head Coaching Position","=HYPERLINK(""https://www.blackenterprise.com/michael-vick-norfolk-state-sacramento-state/"")",Black Enterprise
"Shirley Chisholm, 1st Black Congresswoman, To Be Honored With Congressional Gold Medal Act","=HYPERLINK(""https://www.blackenterprise.com/shirley-chisholm-1st-black-congresswoman-to-be-honored-with-congressional-gold-medal-act/"")",Black Enterprise
Michael Vick says he will be the new head football coach at Norfolk State University,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5232649/michael-vick-head-coach-norfolk-state"")",NPR
The American industry that wants more government intervention,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5220261/american-mining-industry-regulation-trump"")",NPR
Churches are making room for grief and loss at Christmas,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5224086/churches-holiday-grief-loss-christmas"")",NPR
"'Cancer ghosting' can be more painful than treatment, survivors say","=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5179011/cancer-ghosting-survivorship-young-survivors"")",NPR
Energy chief Granholm warns against 'unfettered exports' of liquefied natural gas,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38746/granholm-liquefied-natural-gas"")",NPR
At least 25 killed after an overcrowded boat capsizes in Congo,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5232643/congo-boat-capsizes-kinshasa"")",NPR
"Nuclear bunker sales increase, despite warnings they won't provide protection","=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5232639/nuclear-bunker-sales-increase"")",NPR
Deadly violence in Nigeria tied to United Methodist Church schism over LGBTQ policies,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38739/violence-nigeria-united-methodist-church-lgbtq-policies"")",NPR
Man set to be put to death in Indiana's first execution in 15 years,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5232638/indiana-execution-joseph-corcoran"")",NPR
U.S. to pay $116M settlement over rampant sexual abuse at Calif. women's prison,"=HYPERLINK(""https://www.npr.org/2024/12/17/nx-s1-5232193/federal-prison-california-sexual-abuse-settlement"")",NPR
"Today's NYT Mini Crossword Answers for Wednesday, Dec. 18","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-nyt-mini-crossword-answers-for-wednesday-dec-18/#ftag=CAD590a51e"")",CNET
Best Cheap Phone of 2024: Most Value for the Money,"=HYPERLINK(""https://www.cnet.com/tech/mobile/best-cheap-phone/#ftag=CAD590a51e"")",CNET
"Today's NYT Strands Hints, Answers and Help for Dec. 18, #290","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-nyt-strands-hints-answers-and-help-for-dec-18-290/#ftag=CAD590a51e"")",CNET
"Today's NYT Connections Hints, Answers and Help for Dec. 18, #556","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-nyt-connections-hints-answers-and-help-for-dec-18-556/#ftag=CAD590a51e"")",CNET
"Today's Wordle Hints, Answer and Help for Dec. 18, #1278","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-wordle-hints-answer-and-help-for-dec-18-1278/#ftag=CAD590a51e"")",CNET
"Today's NYT Connections: Sports Edition Hints and Answers for Dec. 18, #86","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-dec-18-86/#ftag=CAD590a51e"")",CNET
7 Anti-Snoring Products for a Peaceful Slumber,"=HYPERLINK(""https://www.cnet.com/health/sleep/anti-snoring-devices/#ftag=CAD590a51e"")",CNET
Casper Dream Hybrid Mattress Review 2024: Casper's Most Accommodating Bed,"=HYPERLINK(""https://www.cnet.com/health/sleep/casper-dream-hybrid-review/#ftag=CAD590a51e"")",CNET
Best Pillow-Top Mattresses for 2024,"=HYPERLINK(""https://www.cnet.com/health/sleep/best-pillow-top-mattress/#ftag=CAD590a51e"")",CNET
Tempur-Pedic Mattress Guide 2024: Every Tempur-Pedic Mattress Tested,"=HYPERLINK(""https://www.cnet.com/health/sleep/tempurpedic-mattress-review/#ftag=CAD590a51e"")",CNET
Best Blue Light Glasses of 2024,"=HYPERLINK(""https://www.cnet.com/health/personal-care/best-blue-light-blocking-glasses/#ftag=CAD590a51e"")",CNET
"Bluesky Climbs to 25 Million Users, Including Luke Skywalker: Should You Join?","=HYPERLINK(""https://www.cnet.com/tech/bluesky-explained-why-this-social-media-network-is-now-growing-by-1-million-users-daily-luke-skywalker/#ftag=CAD590a51e"")",CNET
"Best Internet Providers in Gilbert, Arizona","=HYPERLINK(""https://www.cnet.com/home/internet/best-internet-providers-in-gilbert-az/#ftag=CAD590a51e"")",CNET
"Saatva Classic Mattress Review 2024: Quality Fit for Royalty, Experts Test One of Our Top-Rated Beds","=HYPERLINK(""https://www.cnet.com/health/sleep/saatva-classic-mattress-review/#ftag=CAD590a51e"")",CNET
Best Solar Inverters of 2024,"=HYPERLINK(""https://www.cnet.com/home/energy-and-utilities/best-solar-inverters/#ftag=CAD590a51e"")",CNET
Best Exercise Bikes for 2024,"=HYPERLINK(""https://www.cnet.com/health/fitness/best-exercise-bike/#ftag=CAD590a51e"")",CNET
Aliens Unpackage Christmas in This Canadian Cartoon Cult Classic Streaming Free on Tubi,"=HYPERLINK(""https://www.cnet.com/tech/services-and-software/aliens-unpackage-christmas-in-this-canadian-cartoon-cult-classic-streaming-free-on-tubi/#ftag=CAD590a51e"")",CNET
Too Lazy to Thaw? Here's What an Expert Said About Cooking Frozen Meat,"=HYPERLINK(""https://www.cnet.com/how-to/too-lazy-to-thaw-heres-what-an-expert-said-about-cooking-frozen-meat/#ftag=CAD590a51e"")",CNET
Trump Might Eliminate the EV Tax Credit. What to Know,"=HYPERLINK(""https://www.cnet.com/roadshow/news/trump-might-eliminate-the-ev-tax-credit-what-to-know/#ftag=CAD590a51e"")",CNET
Purple Mattress Review 2024: A Mattress Like No Other,"=HYPERLINK(""https://www.cnet.com/health/sleep/purple-mattress-review/#ftag=CAD590a51e"")",CNET
"How Trump Could Change Tax Credits for Solar Panels, EVs and More","=HYPERLINK(""https://www.cnet.com/home/energy-and-utilities/how-trump-could-change-tax-credits-for-solar-panels-evs-and-more/#ftag=CAD590a51e"")",CNET
"Best Internet Providers in Fayetteville, North Carolina","=HYPERLINK(""https://www.cnet.com/home/internet/best-internet-providers-in-fayetteville-nc/#ftag=CAD590a51e"")",CNET
Best Flip Phone for 2024,"=HYPERLINK(""https://www.cnet.com/tech/mobile/best-flip-phone/#ftag=CAD590a51e"")",CNET
Best Desktop Computer for 2024,"=HYPERLINK(""https://www.cnet.com/tech/computing/best-desktop-computer/#ftag=CAD590a51e"")",CNET
Best Mattresses for Kids in 2024,"=HYPERLINK(""https://www.cnet.com/health/sleep/best-mattress-for-kids/#ftag=CAD590a51e"")",CNET
Generative AI and Climate Change Are on a Collision Course,"=HYPERLINK(""https://www.wired.com/story/true-cost-generative-ai-data-centers-energy/"")",Wired
