title,link,source
"The Edgelord AI That Seduced Marc Andreessen, Then Turned a Famed Shock Meme Into Cryptomillions","=HYPERLINK(""https://www.wired.com/story/truth-terminal-goatse-crypto-millionaire/"")",Wired
"Intel finally notches a GPU win, confirms Arc B580 is selling out after stellar reviews","=HYPERLINK(""https://www.theverge.com/2024/12/17/24323888/intel-arc-b580-sold-out-availability"")",The Verge
"AI is burying company web sites in search results, but Otterly.AI thinks it can help","=HYPERLINK(""https://techcrunch.com/2024/12/18/ai-is-burying-company-web-sites-in-search-results-but-otterly-ai-thinks-it-can-help/"")",TechCrunch
I think AI laptops are the next big thing — the Acer Swift 16 with 3K OLED is $300 off,"=HYPERLINK(""https://mashable.com/article/dec-18-acer-laptop-deal"")",Mashable
UK government denies rift with Mauritian PM over Chagos Islands deal,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/uk-government-denies-rift-with-mauritian-pm-over-chagos-island-deal"")",The Guardian
A Weary Biden Heads for the Exit,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html"")",The New York Times
Suspect in Russian General’s Killing Detained Outside of Moscow,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html"")",The New York Times
Video Captures Blast That Killed Russian General Igor Kirillov,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/europe/russian-general-assassination-igor-kirillov-video.html"")",The New York Times
Biden Administration Running Out of Time to Send Allocated Aid to Ukraine,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/ukraine-aid-biden-trump.html"")",The New York Times
Wisconsin School Shooting: Madison Residents Grieve as They Wait to Learn More,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/wisconsin-school-shooting-madison-residents.html"")",The New York Times
Gun Violence Around Schools Has Risen Since the Pandemic,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/gun-violence-school-shootings-pandemic.html"")",The New York Times
"Trump Sues The Des Moines Register, Escalating Threats Against the Media","=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html"")",The New York Times
Trump Picks Herschel Walker to Be Ambassador to the Bahamas,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/herschel-walker-bahamas-trump.html"")",The New York Times
House Republicans Call for Liz Cheney to Be Investigated Over Jan. 6 Committee Role,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/liz-cheney-jan-6-house-republicans.html"")",The New York Times
Honda and Nissan Are in Talks to Deepen Ties and Possibly Merge,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/business/honda-nissan-talks-merger.html"")",The New York Times
Luigi Mangione Charged With Murder in UnitedHealthcare CEO Killing,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/nyregion/mangione-first-degree-murder-terrorism.html"")",The New York Times
Congressional Leaders Unveil Short-Term Spending Bill Tied to Disaster Aid,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/europe/congress-short-term-spending-bill.html"")",The New York Times
Sherrod Brown Signs Off in the Senate. For Now.,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/sherrod-brown-senate-career.html"")",The New York Times
Pentagon Repatriates Malaysian Prisoners Who Pleaded Guilty to War Crimes,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/politics/malaysian-prisoners-repatriated-gitmo.html"")",The New York Times
A 7-Eleven Heir’s $50 Billion Fight to Keep the Company in the Family,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/7-eleven-japan-corporate-culture.html"")",The New York Times
"In Visit to Territory Seized in Syria, Netanyahu Says Troops Will Stay","=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/middleeast/17syria-israel-netanyahu.html"")",The New York Times
Limits on Aid to Syria Threaten to Worsen the Country’s Humanitarian Crisis,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/middleeast/syria-sanctions-aid-limits.html"")",The New York Times
Trump Mines Fraught Moment in Canadian Politics,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/canada/trudeau-trump-tariffs.html"")",The New York Times
"The TV Shows, Movies and Music That Readers Loved in 2024","=HYPERLINK(""https://www.nytimes.com/2024/12/17/arts/shows-movies-music-reader-favorites-2024.html"")",The New York Times
I Was a Health Insurance Executive. What I Saw Made Me Quit.,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/opinion/health-insurance-united-ceo-shooting.html"")",The New York Times
U.S. Agrees to Pay $116 Million to Settle Sexual Abuse Claims at California Prison,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/california-prison-settlement-sexual-abuse.html"")",The New York Times
"U.K. Police Chiefs Were Too Slow to Respond to Summer Riots, Report Says","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/uk-riots-police-response-report.html"")",The New York Times
Tax Preparer Known as ‘the Magician’ Bilked I.R.S. Out of $145 Million,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/nyregion/fraud-tax-return-charges-bronx.html"")",The New York Times
"The Trocks, an All-Male Comic Ballet Troupe in Drag, Turn 50","=HYPERLINK(""https://www.nytimes.com/2024/12/16/arts/dance/the-trocks-male-comedy-ballet-drag-troupe-50.html"")",The New York Times
Trump to Russia’s Rescue,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/trump-to-russias-rescue/681037/?utm_source=feed"")",The Atlantic
Hyundai Is Becoming the New Tesla,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/hyundai-electric-cars-tesla-trump/681033/?utm_source=feed"")",The Atlantic
The Words That Stop ChatGPT in Its Tracks,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/chatgpt-wont-say-my-name/681028/?utm_source=feed"")",The Atlantic
I’ve Been Left Off My Friends’ Group Chat,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/dear-james-left-off-friend-group-text-chat/681021/?utm_source=feed"")",The Atlantic
The Crumbling Foundation of America’s Military,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/weapons-production-munitions-shortfall-ukraine-democracy/680867/?utm_source=feed"")",The Atlantic
A Gathering of Ancient Stars,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/day-17-2024-space-telescope-advent-calendar-gathering-ancient-stars/681027/?utm_source=feed"")",The Atlantic
"RIP, the Axis of Resistance","=HYPERLINK(""https://www.theatlantic.com/international/archive/2024/12/end-iran-axis-resistance/681024/?utm_source=feed"")",The Atlantic
Bogotá’s Water Rationing Is a Preview,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/bogota-drought-water-rationing-routine/681023/?utm_source=feed"")",The Atlantic
The 10 Best Albums of 2024,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/best-albums-2024-mount-eerie-charli-xcx-kim-gordon/680852/?utm_source=feed"")",The Atlantic
Bob Dylan’s Carnival Act,"=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/a-complete-unknown-bob-dylan-biopic/680761/?utm_source=feed"")",The Atlantic
Can the Rodeo Save a Historic Black Town?,"=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/boley-oklahoma-black-rodeo-history-comeback/680756/?utm_source=feed"")",The Atlantic
"America Needs a Leader, Not a Salesman","=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/the-commons/680751/?utm_source=feed"")",The Atlantic
Does Democracy Even Work?,"=HYPERLINK(""https://www.theatlantic.com/podcasts/archive/2024/12/voters-policy-deliverism/681017/?utm_source=feed"")",The Atlantic
Silicon Valley Heads to Mar-a-Lago,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/silicon-valley-heads-to-mar-a-lago/681022/?utm_source=feed"")",The Atlantic
How to Navigate the Era of Trump,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/navigate-trump-era-guide/681020/?utm_source=feed"")",The Atlantic
The Push for Puberty Blockers Got Ahead of the Research,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/why-supreme-court-puberty-blockers/680998/?utm_source=feed"")",The Atlantic
Has Your Cat Closed Its Rings Today?,"=HYPERLINK(""https://www.theatlantic.com/health/archive/2024/12/cat-pet-fitness-tracker-quantified-anxiety/681012/?utm_source=feed"")",The Atlantic
A New View of a Distant Spiral,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/day-16-2024-space-telescope-advent-calendar-new-view-distant-spiral/681013/?utm_source=feed"")",The Atlantic
What If You Just Skipped the Holidays?,"=HYPERLINK(""https://www.theatlantic.com/family/archive/2024/12/skip-holiday-tradition-etiquette/681007/?utm_source=feed"")",The Atlantic
Oliver Sacks’s Lifelong Search for Recognition,"=HYPERLINK(""https://www.theatlantic.com/books/archive/2024/12/oliver-sacks-letters-reveal-search-recognition/680997/?utm_source=feed"")",The Atlantic
The Technology That Actually Runs Our World,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/cultural-algorithms/680987/?utm_source=feed"")",The Atlantic
How Democrats Lost Their Way on Immigration,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/comprehensive-immigration-reform-democrats/680996/?utm_source=feed"")",The Atlantic
Maybe Democrats Didn’t Do So Badly After All,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/democrats-2024-election-results/680995/?utm_source=feed"")",The Atlantic
Best of <em>How To</em>: Waste Time,"=HYPERLINK(""https://www.theatlantic.com/podcasts/archive/2024/12/best-of-how-to-waste-time/680982/?utm_source=feed"")",The Atlantic
How to Move On From the Worst of Identity Politics,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/democrats-election-loss-identity/680993/?utm_source=feed"")",The Atlantic
