title,link,source,direct_link
"Guillaume Diop, Paris Opera Ballet’s First Black Etoile, Is Lighting Up the Stage","=HYPERLINK(""https://www.nytimes.com/2024/12/16/arts/dance/guillaume-diop-paris-opera-ballet.html"")",The New York Times,https://www.nytimes.com/2024/12/16/arts/dance/guillaume-diop-paris-opera-ballet.html
Gas Will Be the First Big Climate Fight of the Trump Era,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/gas-lng-climate-trump/681041/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/gas-lng-climate-trump/681041/?utm_source=feed
Ukraine’s Hardest Winter,"=HYPERLINK(""https://www.theatlantic.com/international/archive/2024/12/ukraine-russia-war-trump-election/681035/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/international/archive/2024/12/ukraine-russia-war-trump-election/681035/?utm_source=feed
An Energetic Protostar,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/day-18-2024-space-telescope-advent-calendar-energetic-protostar/681040/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/day-18-2024-space-telescope-advent-calendar-energetic-protostar/681040/?utm_source=feed
The Outrage Over <em>100 Men</em> Only Goes So Far,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/lily-phillips-outrage-porn-100-men/681032/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/ideas/archive/2024/12/lily-phillips-outrage-porn-100-men/681032/?utm_source=feed
You Are Cordially Invited to an Event That Could Ruin Your Life,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/lindsey-graham-pete-hegseth-sexual-assault-accuser-satire/681039/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/lindsey-graham-pete-hegseth-sexual-assault-accuser-satire/681039/?utm_source=feed
The Pro-Eating-Disorder Internet Is Back,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/eating-disorder-content-x/681036/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/technology/archive/2024/12/eating-disorder-content-x/681036/?utm_source=feed
Why Can’t Robots Stay Robots?,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/wild-robot-motherhood/681030/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/wild-robot-motherhood/681030/?utm_source=feed
Why Do Big Families Get Such a Bad Rap?,"=HYPERLINK(""https://www.theatlantic.com/family/archive/2024/12/ode-big-families/681005/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/family/archive/2024/12/ode-big-families/681005/?utm_source=feed
Trump to Russia’s Rescue,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/trump-to-russias-rescue/681037/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/newsletters/archive/2024/12/trump-to-russias-rescue/681037/?utm_source=feed
Hyundai Is Becoming the New Tesla,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/hyundai-electric-cars-tesla-trump/681033/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/technology/archive/2024/12/hyundai-electric-cars-tesla-trump/681033/?utm_source=feed
The Words That Stop ChatGPT in Its Tracks,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/chatgpt-wont-say-my-name/681028/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/technology/archive/2024/12/chatgpt-wont-say-my-name/681028/?utm_source=feed
I’ve Been Left Off My Friends’ Group Chat,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/dear-james-left-off-friend-group-text-chat/681021/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/dear-james-left-off-friend-group-text-chat/681021/?utm_source=feed
The Crumbling Foundation of America’s Military,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/weapons-production-munitions-shortfall-ukraine-democracy/680867/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/politics/archive/2024/12/weapons-production-munitions-shortfall-ukraine-democracy/680867/?utm_source=feed
A Gathering of Ancient Stars,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/day-17-2024-space-telescope-advent-calendar-gathering-ancient-stars/681027/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/day-17-2024-space-telescope-advent-calendar-gathering-ancient-stars/681027/?utm_source=feed
"RIP, the Axis of Resistance","=HYPERLINK(""https://www.theatlantic.com/international/archive/2024/12/end-iran-axis-resistance/681024/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/international/archive/2024/12/end-iran-axis-resistance/681024/?utm_source=feed
Bogotá’s Water Rationing Is a Preview,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/bogota-drought-water-rationing-routine/681023/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/bogota-drought-water-rationing-routine/681023/?utm_source=feed
The 10 Best Albums of 2024,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/best-albums-2024-mount-eerie-charli-xcx-kim-gordon/680852/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/best-albums-2024-mount-eerie-charli-xcx-kim-gordon/680852/?utm_source=feed
Bob Dylan’s Carnival Act,"=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/a-complete-unknown-bob-dylan-biopic/680761/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/magazine/archive/2025/01/a-complete-unknown-bob-dylan-biopic/680761/?utm_source=feed
Can the Rodeo Save a Historic Black Town?,"=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/boley-oklahoma-black-rodeo-history-comeback/680756/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/magazine/archive/2025/01/boley-oklahoma-black-rodeo-history-comeback/680756/?utm_source=feed
"America Needs a Leader, Not a Salesman","=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2025/01/the-commons/680751/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/magazine/archive/2025/01/the-commons/680751/?utm_source=feed
Does Democracy Even Work?,"=HYPERLINK(""https://www.theatlantic.com/podcasts/archive/2024/12/voters-policy-deliverism/681017/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/podcasts/archive/2024/12/voters-policy-deliverism/681017/?utm_source=feed
Silicon Valley Heads to Mar-a-Lago,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/silicon-valley-heads-to-mar-a-lago/681022/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/newsletters/archive/2024/12/silicon-valley-heads-to-mar-a-lago/681022/?utm_source=feed
