Headline,Source,URL
Deaths from alcohol at record high in England,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c7ve155r1d9o"", ""https://www.bbc.com/news/articles/c7ve155r1d9o"")"
Bank of England expected to hold interest rates,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cd75yq1zlzqo"", ""https://www.bbc.com/news/articles/cd75yq1zlzqo"")"
Family live with sewage spills and maggots in 'horrific' temporary housing,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cly21w7qewvo"", ""https://www.bbc.com/news/articles/cly21w7qewvo"")"
Cara Delevingne plays Elton John in music video,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cy0nvg0l0rpo"", ""https://www.bbc.com/news/articles/cy0nvg0l0rpo"")"
Principal banned after pupils had sex on ski trip,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/czxdyjx7rego"", ""https://www.bbc.com/news/articles/czxdyjx7rego"")"
"My kids saw my pain on set, says Angelina Jolie",BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cyv3j07dz15o"", ""https://www.bbc.com/news/articles/cyv3j07dz15o"")"
The Papers:  'Senseless attack' and 'stagflation' fears continue,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c0j1q8xjq6eo"", ""https://www.bbc.com/news/articles/c0j1q8xjq6eo"")"
Even morphine doesn't help my horrific period pain,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c89xyngwn88o"", ""https://www.bbc.com/news/articles/c89xyngwn88o"")"
"Russia moving equipment at Syrian bases, satellite images show",BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cm2ev2prep2o"", ""https://www.bbc.com/news/articles/cm2ev2prep2o"")"
UK inflation is up for second month in a row - will prices keep rising?,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c6230y85k06o"", ""https://www.bbc.com/news/articles/c6230y85k06o"")"
What now for Man Utd and Marcus Rashford as speculation about striker's future mounts,BBC News,"=HYPERLINK(""https://www.bbc.com/sport/football/articles/cx2yq9qdyq7o"", ""https://www.bbc.com/sport/football/articles/cx2yq9qdyq7o"")"
United Front: China's 'magic weapon' caught in a spy controversy,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c878evdp758o"", ""https://www.bbc.com/news/articles/c878evdp758o"")"
BBC News app,BBC News,"=HYPERLINK(""https://www.bbc.co.uk/news/10628994"", ""https://www.bbc.co.uk/news/10628994"")"
