title,link,source
Energy chief Granholm warns against 'unfettered exports' of liquefied natural gas,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38746/granholm-liquefied-natural-gas"")",NPR
"Intel finally notches a GPU win, confirms Arc B580 is selling out after stellar reviews","=HYPERLINK(""https://www.theverge.com/2024/12/17/24323888/intel-arc-b580-sold-out-availability"")",The Verge
Threads is testing a post scheduling feature,"=HYPERLINK(""https://techcrunch.com/2024/12/17/threads-is-testing-a-post-scheduling-feature/"")",TechCrunch
"XO, Kitty Season 2 trailer sees return of To All The Boys heartthrob Peter Kavinsky","=HYPERLINK(""https://mashable.com/video/xo-kitty-season-2-trailer-netflix"")",Mashable
UK government denies rift with Mauritian PM over Chagos Islands deal,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/uk-government-denies-rift-with-mauritian-pm-over-chagos-island-deal"")",The Guardian
A Weary Biden Heads for the Exit,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html"")",The New York Times
Trump to Russia’s Rescue,"=HYPERLINK(""https://www.theatlantic.com/newsletters/archive/2024/12/trump-to-russias-rescue/681037/?utm_source=feed"")",The Atlantic
"Diddy's Children Share Personal and Heartfelt Birthday Tributes To Late Mom, Kim Porter","=HYPERLINK(""https://www.theroot.com/diddys-children-share-heartfelt-and-cheerful-birthday-t-1851723459"")",The Root
"The Outlawz Member Recalls Afeni Shakur Taking Tupac Off Life Support, ‘He Probably Could Have Lived’","=HYPERLINK(""https://www.blackenterprise.com/outlawz-afeni-shakur-tupac-life-support/"")",Black Enterprise
"Today's NYT Mini Crossword Answers for Wednesday, Dec. 18","=HYPERLINK(""https://www.cnet.com/tech/gaming/todays-nyt-mini-crossword-answers-for-wednesday-dec-18/#ftag=CAD590a51e"")",CNET
Logitech Promo Code: 15% Off in December 2024,"=HYPERLINK(""https://www.wired.com/story/logitech-promo-code/"")",Wired
UK inflation rate hits highest level for eight months,"=HYPERLINK(""https://www.bbc.com/news/articles/cvgmndllpz9o"")",BBC News
