title,link,source,direct_link
A Rift in Trump World Over How to Make America Healthier,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/health/ozempic-food-rfk-elon-musk.html"")",The New York Times,https://www.nytimes.com/2024/12/18/health/ozempic-food-rfk-elon-musk.html
"Trump Sues The Des Moines Register, Escalating Threats Against the Media","=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html
House Republicans Call for Liz Cheney to Be Investigated Over Jan. 6 Committee Role,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/liz-cheney-jan-6-house-republicans.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/politics/liz-cheney-jan-6-house-republicans.html
Trump Picks Herschel Walker to Be Ambassador to the Bahamas,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/herschel-walker-bahamas-trump.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/politics/herschel-walker-bahamas-trump.html
"Fed Expected to Cut Rates, and C.E.O. Shooting Suspect Branded Terrorist","=HYPERLINK(""https://www.nytimes.com/2024/12/18/podcasts/fed-mangione-beef-tallow.html"")",The New York Times,https://www.nytimes.com/2024/12/18/podcasts/fed-mangione-beef-tallow.html
The Economy Is Finally Stable. Is That About to Change?,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/economy/trump-us-economy.html"")",The New York Times,https://www.nytimes.com/2024/12/18/business/economy/trump-us-economy.html
What to Watch as the Fed Makes Its Final 2024 Rate Decision,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/fed-meeting-interest-rates.html"")",The New York Times,https://www.nytimes.com/2024/12/18/business/fed-meeting-interest-rates.html
Suspect in Russian General’s Killing Detained Outside of Moscow,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html
Video Captures Blast That Killed Russian General Igor Kirillov,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/europe/russian-general-assassination-igor-kirillov-video.html"")",The New York Times,https://www.nytimes.com/2024/12/17/world/europe/russian-general-assassination-igor-kirillov-video.html
"Al-Assad’s Soldiers Hope for Amnesty. First, They Have to Take a Number.","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/middleeast/syria-assad-soldier-amnesty.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/middleeast/syria-assad-soldier-amnesty.html
Why Optimism for a Cease-Fire in Gaza Is Rising,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/middleeast/gaza-israel-hamas-cease-fire.html"")",The New York Times,https://www.nytimes.com/2024/12/17/world/middleeast/gaza-israel-hamas-cease-fire.html
Honda and Nissan Are in Talks to Deepen Ties and Possibly Merge,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/business/honda-nissan-talks-merger.html"")",The New York Times,https://www.nytimes.com/2024/12/17/business/honda-nissan-talks-merger.html
The Once Booming Drug Town Going Bust Under Taliban Rule,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/asia/afghanistan-opium-heroin-taliban.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/asia/afghanistan-opium-heroin-taliban.html
Pentagon Repatriates Malaysian Prisoners Who Pleaded Guilty to War Crimes,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/politics/malaysian-prisoners-repatriated-gitmo.html"")",The New York Times,https://www.nytimes.com/2024/12/18/us/politics/malaysian-prisoners-repatriated-gitmo.html
Tiny Coffins: Measles Is Killing Thousands of Children in Congo,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/health/measles-congo-vaccines.html"")",The New York Times,https://www.nytimes.com/2024/12/18/health/measles-congo-vaccines.html
A Weary Biden Heads for the Exit,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html
Why Democrats’ Version of ‘Stop the Steal’ Isn’t Taking Off,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/technology/democrats-election-denial-trump.html"")",The New York Times,https://www.nytimes.com/2024/12/18/technology/democrats-election-denial-trump.html
Inside Disney’s Decision to Settle the Trump Suit Against ABC News,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/media/disney-trump-abc-lawsuit.html"")",The New York Times,https://www.nytimes.com/2024/12/18/business/media/disney-trump-abc-lawsuit.html
I Was a Health Insurance Executive. What I Saw Made Me Quit.,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/opinion/health-insurance-united-ceo-shooting.html"")",The New York Times,https://www.nytimes.com/2024/12/18/opinion/health-insurance-united-ceo-shooting.html
Wisconsin School Shooting: Madison Residents Grieve as They Wait to Learn More,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/wisconsin-school-shooting-madison-residents.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/wisconsin-school-shooting-madison-residents.html
A 7-Eleven Heir’s $50 Billion Fight to Keep the Company in the Family,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/7-eleven-japan-corporate-culture.html"")",The New York Times,https://www.nytimes.com/2024/12/18/business/7-eleven-japan-corporate-culture.html
"U.K. Police Chiefs Were Too Slow to Respond to Summer Riots, Report Says","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/uk-riots-police-response-report.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/uk-riots-police-response-report.html
