Source,Title,Link
https://thegrio.com/,Michael Harriot,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""https://thegrio.com/author/michael-harriot/"")"
https://thegrio.com/,Michael Harriot,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""https://thegrio.com/author/michael-harriot/"")"
https://thegrio.com/,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"")"
https://thegrio.com/,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"")"
https://thegrio.com/,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"")"
https://thegrio.com/,Michael Harriot,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""https://thegrio.com/author/michael-harriot/"")"
https://thegrio.com/,Michael Harriot,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""https://thegrio.com/author/michael-harriot/"")"
https://www.blackenterprise.com/,"Stillman College, North Carolina Central University Receive $1M Donations From Google","=HYPERLINK(""https://www.blackenterprise.com/stillman-college-north-carolina-central-1m-google/"", ""https://www.blackenterprise.com/stillman-college-north-carolina-central-1m-google/"")"
https://www.huffpost.com/voices/black-voices,Critical Race Theory Will Continue To Be Attacked — So Read These 8 Empowering Books By Black Authors,"=HYPERLINK(""https://www.huffpost.com/entry/empowering-books-black-authors-2024_n_6761e5dbe4b0a89003b0ea67"", ""https://www.huffpost.com/entry/empowering-books-black-authors-2024_n_6761e5dbe4b0a89003b0ea67"")"
https://andscape.com/,"In 2024, Kendrick Lamar made the boogeyman a superhero
The Compton MC is the fourth annual Andscape MVP recipient","=HYPERLINK(""https://andscape.com/features/kendrick-lamar-made-the-boogeyman-a-superhero/"", ""https://andscape.com/features/kendrick-lamar-made-the-boogeyman-a-superhero/"")"
https://andscape.com/,"Michael Vick going to coach at Norfolk State a prime example of Deion Sanders effect
Former NFL quarterback and first-time college coach is embracing an HBCU program that desperately needs his help","=HYPERLINK(""https://andscape.com/features/michael-vick-going-to-coach-at-norfolk-state-a-prime-example-of-deion-sanders-effect/"", ""https://andscape.com/features/michael-vick-going-to-coach-at-norfolk-state-a-prime-example-of-deion-sanders-effect/"")"
https://andscape.com/,"Andscape roundtable: Michael Vick, Norfolk State and the Deion Sanders effect in college football
Talking Vick’s potential coaching opportunities, his legend and how Sanders’ success is influencing the sport","=HYPERLINK(""https://andscape.com/features/andscape-roundtable-michael-vick-norfolk-state-and-the-deion-sanders-effect-in-college-football/"", ""https://andscape.com/features/andscape-roundtable-michael-vick-norfolk-state-and-the-deion-sanders-effect-in-college-football/"")"
