Timestamp,URL,Error
2024-12-19 20:31:38.691712,https://blackgirlnerds.com/,403 Client Error: Forbidden for url: https://blackgirlnerds.com/
2024-12-19 20:31:46.153148,https://blavity.com/,403 Client Error: Forbidden for url: https://blavity.com/
